測站名稱,所在縣市,緯度,經度,距離台北車站(公里),AQI,主要污染物,空氣品質狀態
關山,臺東縣,23.045083,121.161933,225.59,31,,良好
麥寮,雲林縣,23.753506,120.251825,192.68,47,,良好
富貴角,新北市,25.29681695,121.53656894,27.76,43,,良好
大城,彰化縣,23.85493056,120.26964167,183.12,33,,良好
臺灣大道,臺中市,24.1589,120.6567111,131.66,60,細懸浮微粒,普通
員林,彰化縣,23.9615945,120.5631893,154.6,68,細懸浮微粒,普通
林森,臺南市,22.98522502,120.22216042,264.37,98,細懸浮微粒,普通
南投（鹿谷）,南投縣,23.71867609,120.7944772,164.91,75,細懸浮微粒,普通
屏東（琉球）,屏東縣,22.35222,120.37722,321.41,117,細懸浮微粒,對敏感族群不健康
新北（樹林）,新北市,24.94902778,121.38352778,17.37,47,,良好
屏東（枋山）,屏東縣,22.260899,120.651472,322.18,59,懸浮微粒,普通
嘉義（東區）,嘉義市,23.51301,120.44452,202.34,84,細懸浮微粒,普通
